                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4161,                 4.7399,                 1.4086,                0.00236,                0.26769,                0.00196,                0.00096,                 1.9768,                 4.1827,                 1.2152,               0.067828,             0.00065657,             0.00065657
                      2,                 2.2016,                 2.2151,                 1.2891,                  0.623,                0.47077,                 0.4908,                0.18177,                 2.0827,                 1.8303,                  1.186,               0.035149,              0.0013101,              0.0013101
                      3,                 2.0562,                 1.6078,                 1.2382,                0.53106,                0.54011,                 0.5057,                0.19076,                 2.0667,                 1.4843,                 1.1541,              0.0024555,              0.0019505,              0.0019505
