                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6645,                 4.5462,                 2.5546,                      0,                      0,                      0,                      0,                 4.9442,                    inf,                 25.045,               0.070455,              0.0032828,              0.0032828
                      2,                 3.3481,                 3.1078,                  1.964,                0.00061,                0.00923,                0.00012,                  3e-05,                 4.8942,                 439.68,                 7.8361,               0.039145,              0.0053062,              0.0053062
                      3,                 3.1457,                 2.6666,                 1.8704,                0.14757,                0.23385,                0.05917,                0.01529,                 3.5492,                 114.09,                 2.9806,              0.0065145,              0.0060095,              0.0060095
                      4,                 3.0059,                 2.4675,                 1.6993,                0.09363,                0.36615,                0.04994,                0.01167,                 3.1662,                 169.41,                 1.7963,                0.00406,                0.00406,                0.00406
                      5,                 2.8675,                 2.2598,                  1.671,                0.18284,                0.32615,                0.16791,                0.04297,                 2.9688,                 22.892,                 2.1085,                0.00406,                0.00406,                0.00406
