                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3619,                  4.175,                 1.3983,                 0.0052,                0.59077,                0.26666,                0.09068,                 2.1178,                 3.3877,                 1.2497,               0.068813,              0.0016414,              0.0016414
                      2,                  2.178,                 1.8287,                 1.2573,                 0.5262,                 0.4955,                0.42447,                0.15832,                 2.0295,                 1.7301,                 1.1393,               0.037081,              0.0032426,              0.0032426
                      3,                 2.0653,                 1.5693,                 1.1852,                0.50747,                0.47872,                0.43577,                0.16015,                 2.0998,                 1.5119,                 1.1637,              0.0052828,              0.0047777,              0.0047777
                      4,                 2.1042,                 1.4977,                 1.1877,                0.62532,                0.56308,                0.57697,                0.22909,                  2.037,                 1.2869,                 1.1594,               0.004703,               0.004703,               0.004703
                      5,                  2.054,                 1.3653,                 1.1603,                0.66806,                0.58154,                 0.5848,                0.21285,                  2.154,                 1.2154,                 1.1823,               0.004703,               0.004703,               0.004703
                      6,                 2.0363,                 1.2876,                  1.151,                0.69752,                0.61021,                0.61298,                0.22911,                 2.0535,                 1.2557,                 1.1637,               0.004604,               0.004604,               0.004604
                      7,                 2.0143,                 1.2276,                 1.1675,                0.76024,                0.61466,                 0.6382,                0.24641,                   2.04,                  1.182,                 1.1478,               0.004505,               0.004505,               0.004505
                      8,                 2.0271,                 1.2101,                   1.16,                0.62431,                0.61231,                0.60653,                 0.2364,                 2.0304,                 1.1797,                 1.1511,               0.004406,               0.004406,               0.004406
                      9,                 1.9823,                 1.1609,                  1.151,                0.70908,                0.60748,                0.59896,                0.21918,                 2.1528,                 1.1489,                 1.2067,               0.004307,               0.004307,               0.004307
                     10,                 2.0099,                 1.1573,                 1.1508,                0.74802,                0.62462,                0.63063,                0.24805,                 1.9999,                 1.1666,                 1.1389,               0.004208,               0.004208,               0.004208
                     11,                 1.9893,                  1.122,                  1.139,                0.72184,                0.60684,                0.61423,                0.24024,                 2.0063,                 1.1483,                 1.1503,               0.004109,               0.004109,               0.004109
                     12,                 1.9693,                 1.0953,                 1.1374,                0.78602,                0.65231,                0.68148,                0.28549,                 1.9382,                 1.0443,                 1.1375,                0.00401,                0.00401,                0.00401
                     13,                 1.9704,                 1.0704,                  1.145,                0.75919,                0.59175,                0.65595,                0.27144,                 2.0224,                 1.0512,                 1.1268,               0.003911,               0.003911,               0.003911
                     14,                 1.9243,                 1.0346,                 1.1355,                0.80173,                0.64699,                0.67499,                0.27007,                 2.0375,                 1.0302,                 1.1825,               0.003812,               0.003812,               0.003812
                     15,                 1.9188,                 1.0297,                 1.1211,                 0.7108,                0.68615,                0.68462,                0.27609,                 1.9938,                 1.0622,                 1.1303,               0.003713,               0.003713,               0.003713
                     16,                 1.9185,                 1.0075,                 1.1281,                0.73763,                0.64877,                0.63391,                0.23991,                 2.0828,                 1.1501,                 1.1554,               0.003614,               0.003614,               0.003614
                     17,                  1.883,                0.99275,                 1.1074,                0.76728,                0.65846,                0.68026,                0.26951,                 2.0441,                 1.0299,                 1.1526,               0.003515,               0.003515,               0.003515
                     18,                 1.9037,                 1.0057,                 1.1127,                 0.7915,                0.65231,                0.66466,                0.25273,                 2.0794,                 1.0433,                 1.1345,               0.003416,               0.003416,               0.003416
                     19,                 1.8915,                0.99124,                 1.0973,                0.73471,                0.64763,                0.65796,                0.24066,                 2.1363,                 1.0135,                 1.2003,               0.003317,               0.003317,               0.003317
                     20,                 1.8911,                0.98036,                 1.1181,                 0.6944,                0.67692,                 0.6757,                0.27395,                  1.995,                 1.0212,                 1.1189,               0.003218,               0.003218,               0.003218
                     21,                 1.8353,                0.94767,                 1.0997,                0.78595,                0.61538,                0.67582,                0.28718,                 2.0265,                0.97442,                 1.1551,               0.003119,               0.003119,               0.003119
                     22,                 1.8662,                0.94772,                 1.0959,                0.79487,                0.62769,                0.69709,                0.28241,                 2.0537,                0.96694,                 1.1545,                0.00302,                0.00302,                0.00302
                     23,                 1.8041,                0.92876,                 1.0946,                0.77401,                 0.6534,                0.68354,                0.27429,                 2.0259,                0.98655,                 1.1287,               0.002921,               0.002921,               0.002921
                     24,                 1.8423,                0.92769,                 1.0853,                0.76178,                0.61988,                0.61302,                0.22407,                 2.1743,                 1.0355,                 1.1974,               0.002822,               0.002822,               0.002822
                     25,                 1.8289,                0.92325,                 1.0874,                0.82264,                0.67076,                0.68778,                0.27952,                 2.0347,                0.94825,                 1.1406,               0.002723,               0.002723,               0.002723
                     26,                 1.7695,                0.88728,                 1.0756,                0.77845,                0.63787,                0.65087,                0.25976,                 2.1309,                 1.0017,                 1.1834,               0.002624,               0.002624,               0.002624
                     27,                  1.783,                0.88831,                 1.0787,                0.71656,                0.65538,                0.67682,                0.27692,                 2.0098,                0.96312,                 1.1433,               0.002525,               0.002525,               0.002525
                     28,                 1.7913,                   0.88,                 1.0721,                0.75951,                0.64137,                0.64496,                0.26561,                 2.0562,                 1.0116,                  1.168,               0.002426,               0.002426,               0.002426
                     29,                 1.7746,                0.87355,                 1.0661,                0.76884,                0.64308,                0.67627,                0.27012,                 2.0493,                0.94583,                 1.1469,               0.002327,               0.002327,               0.002327
                     30,                 1.7257,                0.83974,                 1.0545,                0.78627,                0.70182,                0.69896,                0.29233,                 2.0032,                0.90049,                 1.1468,               0.002228,               0.002228,               0.002228
                     31,                 1.7581,                0.86655,                 1.0503,                0.77549,                0.66958,                 0.6906,                0.26908,                 2.0503,                0.93342,                 1.1491,               0.002129,               0.002129,               0.002129
                     32,                 1.7279,                0.83658,                 1.0469,                0.74873,                0.68615,                0.71866,                0.30023,                 1.9602,                0.92216,                 1.0977,                0.00203,                0.00203,                0.00203
                     33,                 1.7075,                0.82389,                 1.0384,                0.79084,                0.66769,                0.67365,                0.26399,                 2.1168,                0.91884,                 1.1902,               0.001931,               0.001931,               0.001931
                     34,                 1.7495,                0.83871,                 1.0469,                0.76146,                0.68308,                0.70538,                0.27263,                 2.0401,                0.95001,                 1.1318,               0.001832,               0.001832,               0.001832
                     35,                 1.6423,                0.80404,                 1.0372,                0.76924,                0.68923,                0.72277,                0.30493,                  2.005,                0.89812,                 1.1232,               0.001733,               0.001733,               0.001733
                     36,                 1.6859,                 0.8131,                 1.0212,                0.77916,                0.69846,                0.71217,                0.29397,                 2.0494,                0.89396,                 1.1577,               0.001634,               0.001634,               0.001634
                     37,                 1.6655,                0.80503,                 1.0212,                0.75829,                0.66154,                0.66483,                0.27962,                 2.0468,                0.92903,                 1.1503,               0.001535,               0.001535,               0.001535
                     38,                  1.648,                0.79646,                 1.0239,                0.79418,                0.65846,                 0.6668,                0.26776,                 2.1076,                0.89816,                 1.1669,               0.001436,               0.001436,               0.001436
                     39,                 1.6319,                   0.78,                 1.0172,                0.81768,                0.67617,                 0.6957,                0.28643,                 2.0439,                0.88322,                 1.1448,               0.001337,               0.001337,               0.001337
                     40,                 1.6504,                0.78756,                 1.0221,                0.78841,                0.67385,                0.66194,                  0.272,                 2.0762,                0.91557,                 1.1608,               0.001238,               0.001238,               0.001238
                     41,                  1.649,                0.77444,                 1.0558,                0.80864,                   0.68,                0.71992,                0.29599,                 2.0656,                0.89573,                 1.1452,               0.001139,               0.001139,               0.001139
                     42,                 1.6174,                0.75504,                  1.029,                0.79618,                0.68308,                 0.7135,                0.29089,                 2.0542,                0.88768,                 1.1352,                0.00104,                0.00104,                0.00104
                     43,                 1.5827,                0.75111,                 1.0291,                0.80242,                0.67385,                0.68957,                0.28116,                 2.0294,                0.89781,                 1.1336,               0.000941,               0.000941,               0.000941
                     44,                 1.5632,                0.73749,                 1.0052,                0.81483,                   0.68,                0.71464,                0.29675,                 2.0269,                0.89791,                 1.1327,               0.000842,               0.000842,               0.000842
