                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.308,                 3.6709,                 1.3479,                 0.0066,                   0.72,                0.35152,                0.13414,                 2.1267,                 2.9865,                 1.1254,               0.070455,              0.0032828,              0.0032828
                      2,                 2.1691,                 1.7226,                 1.1914,                0.63305,                0.50769,                0.49356,                0.18027,                 2.1461,                 1.4879,                 1.1827,               0.040018,              0.0061795,              0.0061795
                      3,                 2.0999,                 1.5458,                 1.1896,                0.60275,                0.54769,                0.56355,                 0.2124,                  2.078,                 1.3242,                 1.1751,              0.0091412,              0.0086362,              0.0086362
                      4,                 2.1965,                 1.5682,                 1.1874,                 0.4184,                0.39077,                0.34077,                0.12291,                 2.2389,                 2.0288,                 1.2251,                0.00802,                0.00802,                0.00802
                      5,                 2.0735,                 1.3666,                 1.1776,                0.62476,                0.58462,                  0.544,                0.19941,                 2.1377,                 1.2702,                 1.2331,                0.00802,                0.00802,                0.00802
                      6,                 2.0786,                 1.3386,                 1.2241,                0.65911,                0.61846,                0.55972,                0.21658,                 2.0239,                 1.2475,                 1.1635,                0.00736,                0.00736,                0.00736
                      7,                 2.0723,                  1.286,                 1.2039,                0.58447,                0.50154,                0.49869,                0.18492,                 2.1428,                 1.3172,                 1.1997,                 0.0067,                 0.0067,                 0.0067
                      8,                 2.0413,                 1.2227,                 1.2193,                0.74197,                0.62462,                0.64123,                 0.2521,                 1.9957,                 1.1102,                   1.16,                0.00604,                0.00604,                0.00604
                      9,                 2.0214,                 1.1879,                 1.2278,                0.77303,                0.58685,                0.63824,                0.22587,                 2.1252,                 1.1461,                 1.2035,                0.00538,                0.00538,                0.00538
                     10,                 2.0163,                 1.1433,                 1.1869,                  0.701,                0.59152,                0.60348,                 0.2327,                 2.0498,                 1.1187,                 1.1423,                0.00472,                0.00472,                0.00472
                     11,                 2.0079,                 1.1039,                 1.1916,                0.69252,                0.64615,                0.65575,                0.24303,                 2.0512,                 1.0623,                 1.1545,                0.00406,                0.00406,                0.00406
                     12,                 1.9442,                 1.0663,                 1.1599,                0.73872,                0.63507,                0.66819,                0.27316,                 2.0355,                 1.0525,                 1.1543,                 0.0034,                 0.0034,                 0.0034
                     13,                 1.9479,                 1.0586,                 1.1498,                0.76782,                0.62154,                0.66174,                0.26088,                 1.9928,                 1.0276,                 1.1335,                0.00274,                0.00274,                0.00274
                     14,                 1.9338,                 1.0134,                 1.1504,                0.75879,                0.62914,                0.68801,                0.27669,                 1.9686,                 1.0613,                 1.1168,                0.00208,                0.00208,                0.00208
                     15,                 1.9058,                0.98126,                 1.1281,                0.74488,                0.70075,                 0.7173,                0.26887,                  2.014,                0.99768,                 1.1279,                0.00142,                0.00142,                0.00142
