                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3481,                 4.2584,                 1.3674,                0.41021,                0.32308,                0.31047,                0.11035,                 2.1656,                 2.7392,                 1.2719,               0.067581,             0.00066162,             0.00066162
                      2,                 2.2336,                 2.0744,                 1.2805,                0.67849,                0.44615,                0.47379,                0.18189,                 2.1207,                 1.5071,                 1.2224,               0.034888,               0.001302,               0.001302
                      3,                 2.1521,                 1.6101,                 1.2728,                0.55895,                0.44615,                0.44892,                0.15593,                 2.0882,                 1.6097,                 1.1392,              0.0021685,              0.0019159,              0.0019159
                      4,                 2.0746,                 1.4504,                 1.2247,                0.67039,                0.59452,                0.60723,                0.24286,                 2.0054,                 1.2009,                 1.1595,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.0557,                  1.383,                 1.2096,                0.72927,                0.60506,                0.63495,                0.25491,                 2.0044,                 1.1786,                 1.1352,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.0558,                 1.3335,                 1.1773,                  0.706,                0.62462,                0.63132,                0.23214,                 2.0797,                 1.1288,                 1.1741,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.9919,                 1.2145,                 1.1736,                0.72969,                0.60923,                0.65225,                0.26169,                 1.9659,                 1.1582,                 1.1366,               0.001802,               0.001802,               0.001802
                      8,                 2.0066,                 1.2181,                   1.18,                 0.7516,                0.64241,                0.66909,                0.27271,                 1.9964,                   1.07,                 1.1522,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.9823,                 1.2118,                 1.1666,                0.66338,                0.64882,                0.63937,                0.27528,                 1.9323,                 1.0229,                 1.1179,              0.0017228,              0.0017228,              0.0017228
                     10,                  1.968,                 1.1525,                  1.146,                0.73048,                0.60923,                0.65048,                0.26663,                 2.0058,                 1.0848,                  1.132,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.9425,                  1.124,                 1.1574,                0.70951,                0.66154,                0.68209,                0.26775,                 1.9763,                 1.1157,                 1.1229,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.9573,                 1.1301,                 1.1573,                0.71054,                0.61846,                0.60379,                0.23339,                 2.0656,                 1.1135,                 1.1784,               0.001604,               0.001604,               0.001604
                     13,                 1.9258,                 1.0841,                 1.1428,                0.73928,                0.65436,                0.65241,                0.25198,                 2.0559,                 1.0475,                 1.1701,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.9304,                 1.0953,                 1.1538,                0.73795,                0.68452,                0.68666,                0.28656,                 1.9483,                  1.021,                 1.1348,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.9206,                 1.0907,                 1.1318,                0.76183,                0.64615,                0.67273,                0.25873,                 2.0222,                  1.036,                 1.1458,              0.0014852,              0.0014852,              0.0014852
                     16,                  1.919,                 1.0695,                 1.1363,                0.71466,                0.60111,                  0.639,                0.25428,                 1.9957,                 1.0648,                 1.1333,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.8465,                 1.0196,                 1.1232,                0.74152,                0.66201,                0.66695,                0.25925,                 1.9779,                 1.0354,                 1.1205,               0.001406,               0.001406,               0.001406
                     18,                 1.9199,                 1.0388,                 1.1263,                0.70443,                0.65998,                0.68564,                0.27495,                 1.9979,                 1.0894,                 1.1178,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.8593,                 1.0049,                 1.1275,                0.76493,                0.61846,                0.65622,                0.25798,                 2.0631,                 1.0394,                 1.1505,              0.0013268,              0.0013268,              0.0013268
                     20,                  1.866,                 1.0058,                 1.1288,                0.73672,                0.65435,                0.68034,                0.29043,                  1.914,                 1.0059,                 1.1052,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.8436,                 0.9724,                 1.1039,                0.75161,                0.65846,                0.68808,                0.26433,                 2.0504,                 1.0123,                 1.1608,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.8557,                0.97504,                 1.1045,                0.71784,                0.63077,                0.64582,                0.25754,                 2.0718,                0.99532,                 1.1798,               0.001208,               0.001208,               0.001208
                     23,                 1.8095,                0.95881,                 1.1004,                0.76573,                0.67385,                0.68217,                0.28311,                  1.999,                0.97962,                 1.1401,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.8188,                0.96933,                 1.0996,                0.74325,                0.65913,                0.68438,                0.27495,                 2.0251,                 1.0054,                 1.1491,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.8037,                 0.9497,                 1.0969,                0.78793,                0.65164,                0.70047,                0.27204,                 2.0345,                 1.0041,                 1.1452,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.7971,                0.94778,                  1.106,                0.75996,                0.66154,                0.68485,                0.26922,                  2.012,                 0.9927,                 1.1411,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.7778,                0.93212,                 1.0912,                 0.7943,                0.67385,                 0.7041,                0.28845,                 1.9736,                0.92786,                  1.133,                0.00101,                0.00101,                0.00101
                     28,                 1.7718,                0.90575,                 1.0839,                0.78513,                0.67457,                0.68867,                0.28168,                  1.995,                0.93916,                 1.1377,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.7635,                0.93324,                 1.0836,                0.75911,                0.68923,                0.70541,                0.28307,                 1.9904,                0.92559,                 1.1406,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.7518,                0.89807,                 1.0926,                0.78472,                   0.68,                0.72188,                0.32001,                 1.9034,                0.90749,                 1.1062,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.7755,                0.89431,                 1.0822,                 0.7906,                0.69231,                0.70992,                0.28622,                 1.9982,                0.92908,                 1.1525,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.6983,                0.86805,                 1.0647,                0.77838,                0.68923,                0.71169,                0.30173,                 1.9519,                0.95269,                 1.1354,               0.000812,               0.000812,               0.000812
                     33,                 1.7447,                0.88884,                 1.0747,                0.78778,                0.67388,                0.68105,                0.27824,                 2.0118,                 0.9405,                 1.1609,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.6821,                0.85536,                  1.067,                0.77079,                0.66462,                0.69161,                0.28207,                 2.0403,                0.94688,                 1.1667,              0.0007328,              0.0007328,              0.0007328
                     35,                  1.706,                0.87213,                  1.084,                0.77542,                0.68615,                0.70253,                0.28935,                 2.0169,                 0.9189,                 1.1402,              0.0006932,              0.0006932,              0.0006932
                     36,                  1.711,                0.85453,                 1.0597,                0.73321,                0.68495,                0.70405,                 0.2808,                 2.0379,                0.96509,                   1.16,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.7069,                0.84751,                 1.0731,                0.80292,                0.64615,                0.69881,                0.28943,                 2.0296,                0.92327,                 1.1645,               0.000614,               0.000614,               0.000614
                     38,                 1.6847,                0.84418,                 1.0507,                0.75806,                0.70378,                0.70122,                0.28711,                 2.0407,                0.93085,                 1.1876,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.6991,                0.85207,                  1.061,                 0.7677,                0.65538,                0.67187,                0.27595,                  2.029,                 0.9429,                 1.1625,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.6982,                 0.8558,                 1.0438,                0.79717,                0.68308,                0.71427,                0.29059,                 1.9888,                0.90231,                 1.1386,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.6769,                0.84071,                 1.0841,                 0.7916,                0.69231,                0.70863,                0.28637,                 1.9972,                0.89954,                 1.1658,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.6667,                0.84019,                 1.0646,                0.75726,                0.69846,                0.69271,                0.27203,                 2.0912,                0.93636,                 1.1859,               0.000416,               0.000416,               0.000416
                     43,                 1.6599,                0.83175,                 1.0688,                0.81279,                0.68923,                0.72053,                0.28872,                 2.0522,                0.91579,                  1.161,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.6539,                 0.8263,                 1.0551,                0.77208,                0.67692,                0.70615,                0.29309,                 2.0081,                0.91461,                   1.15,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.6195,                0.81911,                 1.0501,                0.77815,                0.66913,                 0.6893,                0.28251,                 2.0319,                0.93648,                 1.1498,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.6273,                0.81781,                 1.0545,                 0.7772,                0.67692,                0.71395,                0.29859,                  2.001,                0.92581,                 1.1381,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.6241,                0.80791,                 1.0571,                0.77321,                0.65846,                 0.6927,                0.29345,                 2.0112,                0.93245,                 1.1465,               0.000218,               0.000218,               0.000218
                     48,                 1.6053,                0.80803,                 1.0495,                0.79324,                0.67692,                0.69536,                0.28891,                 2.0477,                 0.9294,                 1.1707,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.6038,                0.80558,                 1.0479,                0.78957,                0.67692,                0.69369,                0.28888,                  2.022,                0.91837,                 1.1597,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.5852,                0.79711,                 1.0429,                0.78579,                0.69231,                0.70556,                0.28961,                 2.0303,                0.91491,                 1.1657,               9.92e-05,               9.92e-05,               9.92e-05
